,a,b,c,no,S.No,actual,pred,alive,plod,name,title,male,culture,dateOfBirth,DateoFdeath,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive,imageLink,death,live
278,278,278,278,278,279,1,1,0.759,0.241,-0.49588688946,-0.305927994791,1,0.0417029014151,253.0,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.283864337102,-0.0722863778718,0,0,0,0,0,,,,,0,0,52.0,0,0,0,0.0,1,no_image.jpg,,
279,279,279,279,279,280,0,1,0.767,0.233,-0.495372750643,-0.305927994791,1,0.0417029014151,249.0,299.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.283864337102,-0.0722863778718,0,0,0,0,0,,,,,0,0,50.0,0,0,0,0.0,0,Aegon_Frey_(son_of_Stevron).jpeg,,
280,280,280,280,280,281,0,0,0.11,0.89,-0.494858611825,-0.305927994791,1,0.0417029014151,-27.0,37.0,0.935614533583,0.29331963001,0.175558254695,0.170421377184,-0.0722863778718,0,0,0,0,0,1.0,0.0,1.0,,0,0,,6,1,1,1.0,0,Aegon_I_Targaryen.jpeg,,
281,281,281,281,281,282,0,0,0.031,0.969,-0.494344473008,-0.305927994791,1,0.0417029014151,107.0,131.0,0.0532615924067,0.99331963001,0.675558254695,0.170421377184,-0.0722863778718,0,0,0,0,0,0.0,0.0,1.0,,0,0,,7,1,1,0.759197324415,0,Aegon_II_Targaryen.jpeg,,
282,282,282,282,282,283,0,0,0.064,0.936,-0.493316195373,-0.305927994791,1,0.0417029014151,135.0,184.0,-0.00556193700502,-0.00668036998972,0.493740072877,0.170421377184,-0.0722863778718,0,0,0,0,0,,,0.0,,0,0,,15,1,1,0.675585284281,0,Aegon_IV_Targaryen.jpeg,,
283,283,283,283,283,284,1,0,0.053,0.947,-0.492287917738,0.396362081545,1,0.375036234748,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.170421377184,-0.0722863778718,0,0,0,0,0,,,,,0,1,,0,0,0,0.0,1,no_image.jpg,,
284,284,284,284,284,285,0,0,0.003,0.997,-0.49383033419,-0.305927994791,1,0.375036234748,120.0,157.0,0.759143945348,0.44331963001,0.448285527422,0.170421377184,-0.0722863778718,0,0,0,0,0,1.0,0.0,0.0,,0,0,,8,1,1,0.625418060201,0,Aegon_III_Targaryen.jpeg,,
285,285,285,285,285,286,0,0,0.001,0.999,-0.49177377892,0.396362081545,0,0.375036234748,50.0,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.170421377184,-0.0722863778718,0,0,0,0,0,,,,,0,1,100.0,0,0,0,0.0,0,no_image.jpg,,
286,286,286,286,286,287,0,0,0.057,0.943,-0.492802056555,0.396362081545,1,0.375036234748,26.0,43.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.170421377184,0.691493149687,0,0,0,0,0,,,,1.0,1,1,17.0,0,0,0,0.0,0,Aegon_Targaryen_(son_of_Aenys_I).jpeg,,
287,287,287,287,287,288,0,0,0.003,0.997,-0.491259640103,-0.305927994791,1,0.375036234748,281.0,283.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.170421377184,-0.0722863778718,0,0,0,0,0,,,,,0,0,2.0,0,0,0,0.0,0,Aegon_Targaryen_(son_of_Rhaegar).jpeg,,
288,288,288,288,288,289,1,1,0.62,0.38,-0.488174807198,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.389578622816,-0.0722863778718,0,0,1,0,0,,,,,0,0,,0,0,0,0.0100334448161,1,no_image.jpg,,
289,289,289,289,289,290,0,0,0.031,0.969,-0.485604113111,-0.305927994791,1,0.0417029014151,7.0,42.0,0.81796747476,0.0433196300103,0.0846491637859,0.170421377184,-0.0722863778718,0,0,0,0,0,0.0,0.0,1.0,,0,0,,5,1,1,0.571906354515,0,Aenys_I_Targaryen.jpeg,,
290,290,290,290,290,291,1,1,0.76,0.24,-0.483033419023,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.327564234327,-0.0722863778718,0,0,1,0,0,,,,,0,0,,0,0,0,0.0100334448161,1,no_image.jpg,,
291,291,291,291,291,292,1,1,0.719,0.281,-0.482519280206,-0.0578363917372,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,1,0,0,0,0,,,,,0,1,,0,0,0,0.0133779264214,1,no_image.jpg,,
292,292,292,292,292,293,0,0,0.051,0.949,-0.482005141388,-0.305927994791,1,0.0417029014151,,299.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.23529290853,-0.0722863778718,0,1,0,0,1,,,,,0,0,,0,0,0,0.0267558528428,0,no_image.jpg,,
293,293,293,293,293,294,1,1,0.998,0.002,-0.480462724936,-0.290660819218,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,1,0,,,,,0,1,,0,0,0,0.0066889632107,1,no_image.jpg,,
294,294,294,294,294,295,0,0,0.07,0.93,-0.484061696658,-0.305927994791,1,0.0417029014151,172.0,221.0,0.641496886524,0.49331963001,0.811921891059,0.170421377184,-0.0722863778718,0,0,0,0,0,1.0,0.0,0.0,,0,0,,3,1,1,0.622073578595,0,Aerys_I_Targaryen.jpeg,,
295,295,295,295,295,296,1,1,0.988,0.012,-0.478920308483,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,1,1,0,,,,,0,0,,0,0,0,0.0167224080268,1,no_image.jpg,,
296,296,296,296,296,297,0,0,0.11,0.89,-0.483547557841,-0.305927994791,1,0.0417029014151,244.0,283.0,0.876791004171,0.64331963001,0.766467345604,0.170421377184,-0.0722863778718,0,0,0,0,0,1.0,0.0,0.0,,0,0,,10,1,1,1.0,0,Aerys_II_Targaryen.jpeg,,
297,297,297,297,297,298,0,0,0.282,0.718,-0.476863753213,-0.305927994791,1,-0.00957914986692,,299.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.130421377184,-0.0722863778718,0,1,0,0,0,,,,,0,0,,0,0,0,0.0301003344482,0,no_image.jpg,,
298,298,298,298,298,299,0,1,0.975,0.025,-0.475835475578,-0.305927994791,1,0.323754183466,,266.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.612435765673,-0.0722863778718,0,0,0,0,0,,,,,0,0,,0,0,0,0.0133779264214,0,no_image.jpg,,
299,299,299,299,299,300,1,1,0.948,0.052,-0.472750642674,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.0210071942446,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.0167224080268,1,no_image.jpg,,
300,300,300,300,300,301,1,1,0.746,0.254,-0.471722365039,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,0,0,,,,,0,0,,0,0,0,0.0,1,no_image.jpg,,
301,301,301,301,301,302,0,1,0.767,0.233,-0.470694087404,-0.305927994791,1,0.0417029014151,,299.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,1,0,0,0,,,,,0,0,,0,0,0,0.0066889632107,0,no_image.jpg,,
302,302,302,302,302,303,1,1,0.981,0.019,-0.469665809769,-0.305927994791,1,-0.419835560123,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.0200668896321,1,no_image.jpg,,
303,303,303,303,303,304,1,1,0.726,0.274,-0.467609254499,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.361007194245,-0.0722863778718,0,0,1,0,0,,,,,0,0,,0,0,0,0.0234113712375,1,no_image.jpg,,
304,304,304,304,304,305,0,0,0.031,0.969,-0.471208226221,0.125369715133,0,0.0417029014151,88.0,133.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.186721479959,0.88046952764,0,0,0,0,0,,,,0.0,1,1,45.0,4,1,0,0.267558528428,0,Alicent_Hightower.jpeg,,
305,305,305,305,305,306,1,1,0.987,0.013,-0.466580976864,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,1,1,0,,,,,0,0,,0,0,0,0.0066889632107,1,no_image.jpg,,
306,306,306,306,306,307,1,1,0.964,0.036,-0.467095115681,-0.305927994791,1,-0.240348380636,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.10470709147,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.0100334448161,1,no_image.jpg,,
307,307,307,307,307,308,1,1,0.947,0.053,-0.461953727506,0.526133073912,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.166721479959,-0.0722863778718,0,0,0,1,0,,,,,0,1,,0,0,0,0.0133779264214,1,no_image.jpg,,
308,308,308,308,308,309,1,1,0.737,0.263,-0.460411311054,-0.305927994791,0,0.0417029014151,218.0,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.558150051387,0.246611259923,0,0,0,1,0,,,,1.0,1,0,,1,1,0,0.0802675585284,1,no_image.jpg,,
309,309,309,309,309,310,1,0,0.262,0.738,-0.458354755784,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.478150051387,-0.0722863778718,0,0,0,0,1,,,,,0,0,,0,0,0,0.0334448160535,1,no_image.jpg,,
310,310,310,310,310,311,0,0,0.085,0.915,-0.460925449871,0.308575822003,1,0.375036234748,115.0,171.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.233278520041,0.0418868504746,0,0,0,1,1,,,,0.0,1,1,56.0,0,0,0,0.160535117057,0,no_image.jpg,,
311,311,311,311,311,312,0,0,0.2,0.8,-0.456298200514,-0.305927994791,0,0.0417029014151,188.0,209.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.00184994861254,-0.0722863778718,0,0,0,0,0,,,,,0,0,21.0,0,0,0,0.0267558528428,0,no_image.jpg,,
312,312,312,312,312,313,1,1,0.755,0.245,-0.455269922879,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.558150051387,-0.0722863778718,1,0,0,0,0,,,,,0,0,,0,0,0,0.0066889632107,1,no_image.jpg,,
313,313,313,313,313,314,1,1,0.758,0.242,-0.457326478149,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.186721479959,0.0222018111045,0,0,0,1,0,,,,1.0,1,0,,0,0,0,0.056856187291,1,no_image.jpg,,
314,314,314,314,314,315,1,0,0.304,0.696,-0.453727506427,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.267564234327,-0.0722863778718,0,1,1,0,0,,,,,0,0,,0,0,0,0.00334448160535,1,no_image.jpg,,
315,315,315,315,315,316,1,1,0.976,0.024,-0.452699228792,-0.305927994791,0,-0.240348380636,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,1,0,0,0,,,,,0,0,,0,0,0,0.00334448160535,1,no_image.jpg,,
316,316,316,316,316,317,1,1,0.593,0.407,-0.448586118252,0.526133073912,0,-0.368553508841,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.369578622816,-0.0722863778718,0,0,0,1,0,,,,,0,1,,0,0,0,0.0367892976589,1,no_image.jpg,,
317,317,317,317,317,318,0,1,0.566,0.434,-0.449100257069,0.526133073912,1,0.0417029014151,,299.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.429578622816,-0.0722863778718,0,1,0,0,0,,,,,0,1,,0,0,0,0.0133779264214,0,no_image.jpg,,
318,318,318,318,318,319,1,1,0.736,0.264,-0.442416452442,0.526133073912,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.45529290853,-0.0722863778718,0,0,0,0,0,,,,,0,1,,0,0,0,0.0133779264214,1,no_image.jpg,,
319,319,319,319,319,320,1,1,0.796,0.204,-0.44087403599,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.0301003344482,1,no_image.jpg,,
320,320,320,320,320,321,1,1,0.767,0.233,-0.439845758355,0.526133073912,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,1,0,0,0,,,,,0,1,,0,0,0,0.00334448160535,1,no_image.jpg,,
321,321,321,321,321,322,1,1,0.767,0.233,-0.439331619537,0.526133073912,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.327564234327,-0.0722863778718,0,1,0,0,0,,,,,0,1,,0,0,0,0.0066889632107,1,no_image.jpg,,
322,322,322,322,322,323,1,1,0.709,0.291,-0.437789203085,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,0.266467345604,-0.343864337102,-0.0722863778718,0,0,0,0,0,,,1.0,,0,0,,0,0,0,0.0,1,Arrec_Durrandon.jpeg,,
323,323,323,323,323,324,1,1,0.704,0.296,-0.437275064267,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.327564234327,-0.0722863778718,0,0,1,1,1,,,,,0,0,,0,0,0,0.0434782608696,1,no_image.jpg,,
324,324,324,324,324,325,1,1,0.918,0.082,-0.436246786632,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.20470709147,-0.0722863778718,0,0,0,0,0,,,,,0,0,,0,0,0,0.0,1,Arryk_(guard).png,,
325,325,325,325,325,326,1,0,0.435,0.565,-0.43676092545,0.526133073912,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.0389928057554,-0.0722863778718,0,0,1,1,0,,,,,0,1,,0,0,0,0.0234113712375,1,no_image.jpg,,
326,326,326,326,326,327,1,1,0.537,0.463,-0.435732647815,-0.305927994791,1,-0.317271457559,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,1,0,0,,,,,0,0,,0,0,0,0.0,1,no_image.jpg,,
327,327,327,327,327,328,1,1,0.765,0.235,-0.429562982005,0.526133073912,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.561007194245,-0.0722863778718,0,0,0,0,0,,,,,0,1,,0,0,0,0.0066889632107,1,no_image.jpg,,
328,328,328,328,328,329,1,0,0.141,0.859,-0.428020565553,-0.305927994791,0,0.375036234748,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,1,0,0,0,0,,,,,0,0,,0,0,0,0.0066889632107,1,no_image.jpg,,
329,329,329,329,329,330,0,0,0.01,0.99,-0.424935732648,0.396362081545,1,0.375036234748,105.0,105.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.170421377184,-0.0722863778718,0,0,0,0,0,,,,,0,1,0.0,0,0,0,0.100334448161,0,no_image.jpg,,
330,330,330,330,330,331,1,0,0.057,0.943,-0.425449871465,0.209339180782,0,0.375036234748,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.170421377184,-0.0722863778718,0,0,0,0,0,,,,,0,1,,0,0,0,0.0434782608696,1,no_image.jpg,,
331,331,331,331,331,332,1,1,0.877,0.123,-0.421336760925,-0.305927994791,1,-0.240348380636,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.481007194245,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.0501672240803,1,no_image.jpg,,
332,332,332,332,332,333,0,0,0.002,0.998,-0.422879177378,0.403995669331,1,0.0417029014151,170.0,209.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.170421377184,0.345036456774,0,0,1,0,0,,,,1.0,1,1,39.0,3,1,1,0.47491638796,0,Baelor_Targaryen_(son_of_Daeron_II).jpeg,,
333,333,333,333,333,334,1,1,0.986,0.014,-0.419794344473,-0.305927994791,0,-0.00957914986692,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.130421377184,-0.0722863778718,0,1,0,1,0,,,,,0,0,,0,0,0,0.0200668896321,1,no_image.jpg,,
334,334,334,334,334,335,0,0,0.21,0.79,-0.419280205656,-0.305927994791,1,0.0417029014151,,299.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.327564234327,-0.0722863778718,0,1,1,0,0,,,,,0,0,,0,0,0,0.0334448160535,0,no_image.jpg,,
335,335,335,335,335,336,1,1,0.791,0.209,-0.416709511568,0.522316280019,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,1,0,0,0,,,,,0,0,,0,0,0,0.0133779264214,1,no_image.jpg,,
336,336,336,336,336,337,1,0,0.035,0.965,-0.418251928021,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.478150051387,-0.0722863778718,0,0,0,0,1,,,,,0,0,,0,0,0,0.0301003344482,1,no_image.jpg,,
337,337,337,337,337,338,1,1,0.882,0.118,-0.415167095116,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.130421377184,-0.0722863778718,0,1,0,0,0,,,,,0,0,,0,0,0,0.00334448160535,1,no_image.jpg,,
338,338,338,338,338,339,1,1,0.676,0.324,-0.414138817481,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.327564234327,-0.0722863778718,1,0,0,0,0,,,,,0,0,,0,0,0,0.0,1,no_image.jpg,,
339,339,339,339,339,340,1,1,0.983,0.017,-0.413110539846,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.327564234327,-0.0722863778718,0,0,0,1,1,,,,,0,0,,0,0,0,0.0234113712375,1,no_image.jpg,,
340,340,340,340,340,341,1,1,0.689,0.311,-0.412082262211,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.558150051387,-0.0722863778718,1,0,0,0,0,,,,,0,0,,0,0,0,0.00334448160535,1,no_image.jpg,,
341,341,341,341,341,342,1,1,0.73,0.27,-0.411568123393,-0.0654699795235,1,0.0417029014151,299.0,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,1,0,0,,,,,0,1,6.0,0,0,0,0.0,1,no_image.jpg,,
342,342,342,342,342,343,1,1,0.998,0.002,-0.410539845758,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.0781500513875,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.0066889632107,1,no_image.jpg,,
343,343,343,343,343,344,1,1,0.746,0.254,-0.410025706941,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,1,0,0,,,,,0,0,,0,0,0,0.0066889632107,1,no_image.jpg,,
344,344,344,344,344,345,1,1,0.796,0.204,-0.409511568123,0.659720860171,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.618150051387,-0.0722863778718,0,0,1,0,0,,,,,0,1,,0,0,0,0.0200668896321,1,no_image.jpg,,
345,345,345,345,345,346,1,1,0.988,0.012,-0.407455012853,-0.305927994791,0,-0.419835560123,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.0133779264214,1,no_image.jpg,,
346,346,346,346,346,347,1,1,0.816,0.184,-0.408997429306,-0.305927994791,0,0.0417029014151,283.0,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,1,1,0,,,,,0,0,22.0,0,0,0,0.0836120401338,1,no_image.jpg,,
347,347,347,347,347,348,1,1,0.983,0.017,-0.406426735219,-0.305927994791,1,0.0417029014151,293.0,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,1,0,,,,,0,0,12.0,0,0,0,0.0100334448161,1,no_image.jpg,,
348,348,348,348,348,349,1,1,0.982,0.018,-0.405912596401,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.267564234327,-0.0722863778718,0,1,0,1,0,,,,,0,0,,0,0,0,0.0267558528428,1,no_image.jpg,,
349,349,349,349,349,350,1,0,0.371,0.629,-0.405398457584,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.489578622816,-0.0722863778718,0,0,0,0,1,,,,,0,0,,0,0,0,0.0334448160535,1,no_image.jpg,,
350,350,350,350,350,351,0,1,0.968,0.032,-0.404884318766,0.526133073912,0,0.0417029014151,,299.0,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.458150051387,-0.0722863778718,0,0,0,1,0,,,,,0,1,,0,0,0,0.0234113712375,0,no_image.jpg,,
351,351,351,351,351,352,1,1,0.997,0.003,-0.403341902314,-0.290660819218,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,1,0,,,,,0,1,,0,0,0,0.0133779264214,1,no_image.jpg,,
352,352,352,352,352,353,1,1,0.759,0.241,-0.400771208226,-0.305927994791,1,-0.00957914986692,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.130421377184,-0.0722863778718,0,1,0,0,0,,,,,0,0,,0,0,0,0.0133779264214,1,no_image.jpg,,
353,353,353,353,353,354,1,1,0.767,0.233,-0.400257069409,-0.305927994791,1,-0.00957914986692,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.130421377184,-0.0722863778718,0,1,0,0,0,,,,,0,0,,0,0,0,0.0133779264214,1,no_image.jpg,,
354,354,354,354,354,355,1,1,0.981,0.019,-0.398714652956,0.522316280019,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.0066889632107,1,no_image.jpg,,
355,355,355,355,355,356,1,0,0.201,0.799,-0.398200514139,0.526133073912,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.00184994861254,-0.0722863778718,0,0,0,0,0,,,,,0,1,,0,0,0,0.0367892976589,1,no_image.jpg,,
356,356,356,356,356,357,1,1,0.988,0.012,-0.397686375321,-0.305927994791,0,-0.419835560123,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.00334448160535,1,no_image.jpg,,
357,357,357,357,357,358,1,1,0.877,0.123,-0.399228791774,-0.305927994791,1,-0.240348380636,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.481007194245,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.0468227424749,1,no_image.jpg,,
358,358,358,358,358,359,1,1,0.812,0.188,-0.395629820051,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.506721479959,-0.0722863778718,0,0,0,1,1,,,,,0,0,,0,0,0,0.0167224080268,1,no_image.jpg,,
359,359,359,359,359,360,1,0,0.405,0.595,-0.394601542416,0.526133073912,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.526721479959,-0.0722863778718,0,0,1,0,0,,,,,0,1,,0,0,0,0.00334448160535,1,no_image.jpg,,
360,360,360,360,360,361,1,1,0.793,0.207,-0.393573264781,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,1,0,0,,,,,0,0,,0,0,0,0.0066889632107,1,no_image.jpg,,
361,361,361,361,361,362,1,1,0.693,0.307,-0.393059125964,-0.305927994791,0,-0.00957914986692,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,1,0,0,0,0,,,,,0,0,,0,0,0,0.00334448160535,1,no_image.jpg,,
362,362,362,362,362,363,1,0,0.047,0.953,-0.394087403599,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.478150051387,-0.0722863778718,0,0,0,0,1,,,,,0,0,,0,0,0,0.0301003344482,1,no_image.jpg,,
363,363,363,363,363,364,1,1,0.985,0.015,-0.392030848329,-0.305927994791,0,-0.419835560123,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.0167224080268,1,no_image.jpg,,
364,364,364,364,364,365,1,1,0.712,0.288,-0.390488431877,-0.305927994791,0,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,1,0,0,,,,,0,0,,0,0,0,0.0066889632107,1,no_image.jpg,,
365,365,365,365,365,366,1,1,0.663,0.337,-0.387917737789,0.0490338372704,0,-0.3429124832,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,1,0,0,0,0,,,,,0,0,,2,1,0,0.00334448160535,1,no_image.jpg,,
366,366,366,366,366,367,1,1,0.983,0.017,-0.387403598972,-0.305927994791,1,-0.317271457559,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,1,1,0,,,,,0,0,,0,0,0,0.0066889632107,1,no_image.jpg,,
367,367,367,367,367,368,1,1,0.909,0.091,-0.384832904884,-0.305927994791,0,-0.317271457559,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,0,0,,,,,0,0,,0,0,0,0.0,1,no_image.jpg,,
368,368,368,368,368,369,1,1,0.813,0.187,-0.385347043702,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.327564234327,-0.0722863778718,0,1,1,0,0,,,,,0,0,,0,0,0,0.0200668896321,1,no_image.jpg,,
369,369,369,369,369,370,1,1,0.987,0.013,-0.382776349614,-0.305927994791,0,-0.317271457559,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,1,1,0,,,,,0,0,,0,0,0,0.0066889632107,1,no_image.jpg,,
370,370,370,370,370,371,1,1,0.709,0.291,-0.381748071979,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.327564234327,-0.0722863778718,1,0,0,0,0,,,,,0,0,,0,0,0,0.0,1,no_image.jpg,,
371,371,371,371,371,372,1,1,0.99,0.01,-0.37969151671,-0.305927994791,1,0.0417029014151,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,-0.0781500513875,-0.0722863778718,0,0,0,1,0,,,,,0,0,,0,0,0,0.0066889632107,1,no_image.jpg,,
372,372,372,372,372,373,1,0,0.212,0.788,-0.380205655527,-0.305927994791,1,-0.317271457559,,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,0,0,1,,,,,0,0,,0,0,0,0.0267558528428,1,Borroq.jpeg,,
373,373,373,373,373,374,1,1,0.99,0.01,-0.378663239075,-0.305927994791,1,0.0417029014151,284.0,,-0.00556193700502,-0.00668036998972,-0.00625992712324,0.370421377184,-0.0722863778718,0,0,1,1,0,,,,,0,0,21.0,0,0,0,0.0100334448161,1,no_image.jpg,,
